,ds,y
678,19:01:2018 10:24:01,85.92
679,19:01:2018 10:27:02,96.27
680,19:01:2018 10:30:01,85.58
681,19:01:2018 10:33:01,91.02
682,19:01:2018 10:36:01,90.41
683,19:01:2018 10:39:01,86.07
684,19:01:2018 10:42:01,96.07
685,19:01:2018 10:45:01,85.76
686,19:01:2018 10:48:01,90.7
687,19:01:2018 10:51:01,90.83
688,19:01:2018 10:54:01,85.75
689,19:01:2018 10:57:01,96.6
690,19:01:2018 11:00:02,86.17
691,19:01:2018 11:03:01,90.24
692,19:01:2018 11:06:02,90.43
693,19:01:2018 11:09:01,85.91
694,19:01:2018 11:12:01,96.19
695,19:01:2018 11:15:01,85.57
696,19:01:2018 11:18:01,91.26
697,19:01:2018 11:21:01,90.33
698,19:01:2018 11:24:01,86.27
699,19:01:2018 11:27:01,95.93
700,19:01:2018 11:30:01,85.77
701,19:01:2018 11:33:01,90.77
702,19:01:2018 11:36:01,90.79
703,19:01:2018 11:39:01,85.74
704,19:01:2018 11:42:01,96.62
705,19:01:2018 11:45:01,86.07
706,19:01:2018 11:48:01,90.52
707,19:01:2018 11:51:01,90.71
708,19:01:2018 11:54:01,85.85
709,19:01:2018 11:57:01,96.22
710,19:01:2018 12:00:01,85.45
711,19:01:2018 12:03:01,90.6
712,19:01:2018 12:06:01,90.55
713,19:01:2018 12:09:01,86.28
714,19:01:2018 12:12:01,95.92
715,19:01:2018 12:15:01,85.89
716,19:01:2018 12:18:01,90.92
717,19:01:2018 12:21:01,90.79
718,19:01:2018 12:24:01,85.95
719,19:01:2018 12:27:01,96.63
720,19:01:2018 12:30:01,86.28
721,19:01:2018 12:33:02,91.02
722,19:01:2018 12:36:01,90.6
723,19:01:2018 12:39:01,86.17
724,19:01:2018 12:42:01,96.15
725,19:01:2018 12:45:01,85.6
726,19:01:2018 12:48:01,91.19
727,19:01:2018 12:51:01,90.24
728,19:01:2018 12:54:01,86.35
729,19:01:2018 12:57:01,95.83
730,19:01:2018 13:00:01,85.92
731,19:01:2018 13:03:01,90.42
732,19:01:2018 13:06:02,90.71
733,19:01:2018 13:09:01,85.82
734,19:01:2018 13:12:01,96.58
